include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,2,1,1,True,True,0.019591821,0.015738314,0.01176406,0.0474117,0.8211052417755127,6.419579029083252
True,True,2,1,1,True,False,0.01950821,0.015675945,0.01171744,0.047330268,0.7847471237182617,6.4680702686309814
True,True,2,1,1,False,True,0.019591821,0.015738314,0.01176406,0.0474117,0.7544498443603516,6.427767038345337
True,True,2,1,1,False,False,0.01950821,0.015675945,0.01171744,0.047330268,0.7448580265045166,6.316363096237183
True,True,2,1,2,True,True,0.019586306,0.015783185,0.0117975995,0.04739415,0.8440313339233398,6.4328460693359375
True,True,2,1,2,True,False,0.019600686,0.015738225,0.011763993,0.047399048,0.8119871616363525,6.359545946121216
True,True,2,1,2,False,True,0.01958675,0.015782895,0.011797382,0.047361262,0.8102600574493408,6.624643802642822
True,True,2,1,2,False,False,0.019600498,0.01573802,0.011763839,0.047421142,0.7570550441741943,6.482547044754028
True,True,2,1,6,True,True,0.01957935,0.0157275,0.011755975,0.047222327,0.766819953918457,6.7239830493927
True,True,2,1,6,True,False,0.01953598,0.01570569,0.011739673,0.047240295,0.7686028480529785,6.770195007324219
True,True,2,1,6,False,True,0.019579232,0.015727011,0.011755612,0.04723733,0.7636117935180664,7.186994791030884
True,True,2,1,6,False,False,0.019536551,0.015704932,0.011739107,0.04725275,0.918644905090332,8.19084906578064
True,True,2,1,12,True,True,0.019548774,0.015790176,0.011802824,0.047605176,1.030716896057129,9.730041742324829
True,True,2,1,12,True,False,0.019560719,0.01573032,0.0117580835,0.047475506,0.993107795715332,19.422411680221558
True,True,2,1,12,False,True,0.019548964,0.015790872,0.011803347,0.04762636,0.9268012046813965,10.076802015304565
True,True,2,1,12,False,False,0.019562352,0.015731396,0.011758889,0.047495104,0.9755380153656006,7.96605110168457
True,True,2,1,24,True,True,0.019599536,0.015720408,0.011750675,0.047107287,0.9114792346954346,10.88692831993103
True,True,2,1,24,True,False,0.01955699,0.015718449,0.011749211,0.047173828,1.1972270011901855,11.231910943984985
True,True,2,1,24,False,True,0.019599967,0.015720328,0.011750616,0.047143333,0.8341848850250244,8.710509777069092
True,True,2,1,24,False,False,0.019558426,0.015719483,0.011749984,0.047168773,0.8779652118682861,9.37024211883545
False,True,2,1,1,True,True,0.019616101,0.015719442,0.011749953,0.047189422,0.8201699256896973,6.2550060749053955
False,True,2,1,1,True,False,0.019588655,0.01572581,0.011754713,0.04756757,0.8832597732543945,6.1081109046936035
False,True,2,1,1,False,True,0.019616075,0.015719451,0.01174996,0.047189426,0.8259179592132568,6.245645046234131
False,True,2,1,1,False,False,0.019588023,0.015724324,0.011753603,0.047583416,0.825869083404541,6.449131011962891
False,True,2,1,2,True,True,0.019608365,0.015688423,0.011726767,0.047219645,0.8081989288330078,6.429285764694214
False,True,2,1,2,True,False,0.019612052,0.015709024,0.011742166,0.047176685,0.7966978549957275,6.222779989242554
False,True,2,1,2,False,True,0.019608289,0.015686978,0.011725687,0.047217924,0.7689170837402344,6.5662829875946045
False,True,2,1,2,False,False,0.019612242,0.015709225,0.011742316,0.047205396,0.7774882316589355,6.292378187179565
False,True,2,1,6,True,True,0.019634191,0.015727436,0.0117559275,0.04736455,0.8381659984588623,7.420094013214111
False,True,2,1,6,True,False,0.019539954,0.01565319,0.01170043,0.047171377,0.9020438194274902,6.963651657104492
False,True,2,1,6,False,True,0.01963403,0.01572668,0.011755364,0.04737865,0.8508031368255615,6.752867937088013
False,True,2,1,6,False,False,0.01954087,0.01565419,0.011701179,0.047211174,0.8110640048980713,8.209216117858887
False,True,2,1,12,True,True,0.019664384,0.015810318,0.011817881,0.047240473,1.4373760223388672,8.739691972732544
False,True,2,1,12,True,False,0.019605802,0.015708286,0.011741615,0.047331706,0.8402330875396729,7.198536157608032
False,True,2,1,12,False,True,0.019663012,0.015807783,0.011815987,0.047269225,0.8036961555480957,6.9575419425964355
False,True,2,1,12,False,False,0.019605225,0.01570913,0.0117422445,0.04737516,0.7813911437988281,6.916774034500122
False,True,2,1,24,True,True,0.019594828,0.015722394,0.011752159,0.047199983,1.1547250747680664,10.554898977279663
False,True,2,1,24,True,False,0.019624047,0.015727684,0.011756114,0.047225125,0.9332668781280518,8.673054933547974
False,True,2,1,24,False,True,0.019591969,0.015721286,0.011751331,0.047250085,0.945112943649292,8.393022775650024
False,True,2,1,24,False,False,0.01961833,0.015724711,0.011753891,0.04717095,0.91072678565979,8.115594863891602
